[[(0,00) -1,98	23,00	21,02 (20,00)	6,53	0,04	0,00], [(0,00) -16,98	27,00	10,02 (0,00)	5,96	0,06	0,00], [(0,00) -7,98	27,00	19,02 (3,00)	5,62	0,09	0,00]]
[[(0,00) -1,98	23,00	21,02 (19,00)	6,53	0,04	0,00], [(0,00) -15,98	27,00	11,02 (0,00)	5,91	0,14	0,00], [(0,00) -6,98	27,00	20,02 (4,00)	5,59	0,18	0,00]]
[[(0,00) -1,98	23,00	21,02 (18,00)	6,53	0,04	0,00], [(0,00) -14,98	27,00	12,02 (2,00)	5,86	0,21	0,00], [(0,00) -7,98	27,00	19,02 (3,00)	5,62	0,24	0,00]]
[[(0,00) -1,98	23,00	21,02 (18,00)	6,53	0,04	0,00], [(0,00) -14,98	27,00	12,02 (1,00)	5,86	0,21	0,00], [(0,00) -6,98	27,00	20,02 (4,00)	5,59	0,24	0,00]]
[[(0,00) -1,98	23,00	21,02 (18,00)	6,53	0,04	0,00], [(0,00) -14,98	27,00	12,02 (0,00)	5,86	0,21	0,00], [(0,00) -5,98	27,00	21,02 (5,00)	5,57	0,25	0,00]]
[[(0,00) -1,98	23,00	21,02 (17,00)	6,53	0,04	0,00], [(0,00) -13,98	27,00	13,02 (3,00)	5,81	0,26	0,00], [(0,00) -7,98	27,00	19,02 (3,00)	5,62	0,29	0,00]]
[[(0,00) -1,98	23,00	21,02 (17,00)	6,53	0,04	0,00], [(0,00) -13,98	27,00	13,02 (2,00)	5,81	0,26	0,00], [(0,00) -6,98	27,00	20,02 (4,00)	5,59	0,30	0,00]]
[[(0,00) -1,98	23,00	21,02 (17,00)	6,53	0,04	0,00], [(0,00) -13,98	27,00	13,02 (1,00)	5,81	0,26	0,00], [(0,00) -5,98	27,00	21,02 (5,00)	5,57	0,30	0,00]]
[[(0,00) -1,98	23,00	21,02 (15,00)	6,53	0,04	0,00], [(0,00) -11,98	27,00	15,02 (8,00)	5,76	0,05	0,00], [(0,00) -10,98	27,00	16,02 (0,00)	5,72	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (15,00)	6,53	0,04	0,00], [(0,00) -11,98	27,00	15,02 (7,00)	5,76	0,05	0,00], [(0,00) -9,98	27,00	17,02 (1,00)	5,69	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (15,00)	6,53	0,04	0,00], [(0,00) -11,98	27,00	15,02 (6,00)	5,76	0,05	0,00], [(0,00) -8,98	27,00	18,02 (2,00)	5,65	0,07	0,00]]
