[[-1,98	17,00	15,02	4,87	1,26	0,00], [-2,98	18,00	15,02	4,82	1,69	0,00], [(0,00) -2,98	24,00	21,02 (5,00)	4,62	2,60	0,00]]
[[-1,98	17,00	15,02	4,87	1,26	0,00], [-2,98	18,00	15,02	4,82	1,69	0,00], [(0,00) -2,98	23,00	20,02 (4,00)	4,64	1,84	0,00]]
[[-1,98	17,00	15,02	4,87	1,26	0,00], [-2,98	18,00	15,02	4,82	1,69	0,00], [(0,00) -2,98	22,00	19,02 (3,00)	4,66	1,10	0,00]]
[[-1,98	17,00	15,02	4,87	1,26	0,00], [-2,98	18,00	15,02	4,82	1,69	0,00], [(0,00) -2,98	21,00	18,02 (2,00)	4,68	0,31	0,00]]
[[-1,98	17,00	15,02	4,87	1,26	0,00], [-2,98	18,00	15,02	4,82	1,69	0,00], [(0,00) -2,98	20,00	17,02 (1,00)	4,72	0,49	0,00]]
[[-1,98	17,00	15,02	4,87	1,26	0,00], [-2,98	18,00	15,02	4,82	1,69	0,00], [(0,00) -2,98	19,00	16,02 (0,00)	4,76	1,29	0,00]]
[[-1,98	17,00	15,02	4,87	1,26	0,00], [-2,98	17,00	14,02	4,88	2,52	0,00], [(0,00) -3,98	21,00	17,02 (1,00)	4,69	0,53	0,00]]
[[-1,98	17,00	15,02	4,87	1,26	0,00], [-2,98	17,00	14,02	4,88	2,52	0,00], [(0,00) -3,98	20,00	16,02 (0,00)	4,73	1,33	0,00]]
[[-1,98	17,00	15,02	4,87	1,26	0,00], [-2,98	14,00	11,02	5,17	5,07	0,00], [(0,00) -6,98	24,00	17,02 (1,00)	4,68	0,82	0,00]]
[[-1,98	16,00	14,02	4,95	2,09	0,00], [-3,98	19,00	15,02	4,78	1,70	0,00], [(0,00) -2,98	24,00	21,02 (5,00)	4,62	2,59	0,00]]
[[-1,98	16,00	14,02	4,95	2,09	0,00], [-3,98	19,00	15,02	4,78	1,70	0,00], [(0,00) -2,98	23,00	20,02 (4,00)	4,64	1,83	0,00]]
[[-1,98	16,00	14,02	4,95	2,09	0,00], [-3,98	19,00	15,02	4,78	1,70	0,00], [(0,00) -2,98	22,00	19,02 (3,00)	4,66	1,08	0,00]]
[[-1,98	16,00	14,02	4,95	2,09	0,00], [-3,98	19,00	15,02	4,78	1,70	0,00], [(0,00) -2,98	21,00	18,02 (2,00)	4,68	0,30	0,00]]
