4,9338	25,9437	24,9208	
5,3203	25,9595	24,9334	
5,8262	25,94	24,9179	
6,5907	25,974	24,9448	
7,3552	25,9291	24,9094	
5,2942	25,9405	24,9217	
5,7325	25,9504	24,9295	
6,5334	25,9321	24,915	
7,3429	25,9733	24,9476	
8,1127	25,9246	24,9091	
5,7913	25,8643	24,8722	
6,5405	25,8713	24,8778	
7,3353	25,8539	24,8639	
8,1473	25,8941	24,8959	
8,9203	25,8458	24,8575	
6,5829	25,7729	24,8826	
7,3509	25,7538	24,888	
8,1447	25,7409	24,874	
8,9572	25,7081	24,9063	
9,7308	25,6777	24,8673	
7,3505	25,4974	24,7544	
8,1155	25,4782	24,7651	
8,9184	25,4614	24,7481	
9,7282	25,4283	24,7709	
10,4963	25,3959	24,7403	
5,3175	25,8809	24,8908	
5,7314	25,8976	24,9041	
6,539	25,8774	24,888	
7,3495	25,9119	24,9155	
8,1137	25,8661	24,879	
5,7284	25,8682	24,8814	
6,4961	25,8672	24,8886	
7,2955	25,8548	24,8739	
8,1051	25,8268	24,9077	
8,8757	25,7992	24,868	
6,5293	25,7081	24,8311	
7,2966	25,6889	24,8362	
8,0888	25,6767	24,8221	
8,9023	25,6445	24,8541	
9,6767	25,6152	24,8151	
7,3392	25,4641	24,8174	
8,1057	25,4424	24,7987	
8,8962	25,4294	24,7875	
9,7106	25,3937	24,7568	
10,486	25,362	24,7293	
8,107	25,2069	24,6067	
8,8739	25,1839	24,5867	
9,6654	25,1697	24,5743	
10,4793	25,1316	24,541	
11,2541	25,0972	24,511	
5,8117	25,7223	24,8107	
6,5326	25,7074	24,8244	
7,3401	25,6916	24,8077	
8,1506	25,6653	24,8363	
8,9149	25,6411	24,7984	
6,532	25,5615	24,7935	
7,3005	25,5443	24,8001	
8,098	25,5316	24,7854	
8,9084	25,5016	24,8199	
9,6799	25,4725	24,779	
7,3292	25,3823	24,7414	
8,0952	25,3608	24,746	
8,8847	25,3484	24,7317	
9,6997	25,3136	24,7102	
10,4756	25,283	24,6835	
8,1392	25,1248	24,5555	
8,9041	25,1003	24,5341	
9,6913	25,0873	24,5226	
10,5076	25,0487	24,4887	
11,2848	25,0156	24,4596	
8,9102	24,8688	24,3371	
9,674	24,8412	24,3127	
10,4586	24,8276	24,3006	
11,2763	24,7852	24,2631	
12,055	24,7499	24,2318	
6,5808	25,3343	24,7526	
7,3426	25,3185	24,7387	
8,1494	25,3022	24,7245	
8,9598	25,2744	24,7001	
9,7247	25,2487	24,6775	
7,3409	25,165	24,6089	
8,1098	25,1468	24,5929	
8,9058	25,1337	24,5814	
9,7171	25,1017	24,5532	
10,4895	25,0713	24,5263	
8,1391	24,9777	24,4491	
8,9041	24,9541	24,4281	
9,6912	24,9414	24,417	
10,5075	24,9041	24,3839	
11,2848	24,8722	24,3555	
8,9492	24,7082	24,2163	
9,7127	24,681	24,192	
10,4968	24,6678	24,1802	
11,3148	24,6264	24,1431	
12,0938	24,592	24,1124	
9,7202	24,4409	23,9813	
10,4823	24,41	23,9535	
11,2632	24,3965	23,9413	
12,083	24,3508	23,9001	
12,8638	24,3142	23,8672	
7,3493	24,9476	24,4439	
8,1122	24,9309	24,4291	
8,9176	24,9147	24,4146	
9,7278	24,8856	24,3887	
10,4938	24,8581	24,3641	
8,1075	24,7704	24,2884	
8,8756	24,7507	24,2708	
9,6698	24,7373	24,2588	
10,4821	24,7035	24,2285	
11,2555	24,672	24,2002	
8,91	24,5718	24,1132	
9,6739	24,546	24,09	
10,4587	24,5333	24,0785	
11,2763	24,4937	24,0429	
12,0549	24,4607	24,0131	
9,7198	24,2939	23,8665	
10,4818	24,264	23,8394	
11,2628	24,2509	23,8275	
12,0826	24,2068	23,7875	
12,8633	24,1714	23,7553	
10,4881	24,0077	23,6097	
11,2493	23,9745	23,5794	
12,0283	23,9609	23,567	
12,8492	23,9128	23,523	
13,631	23,875	23,4885	
5,453	25,6817	24,7772	
5,8432	25,697	24,7896	
6,4825	25,6773	24,7737	
7,2929	25,7127	24,8023	
8,0581	25,6668	24,7651	
5,8118	25,6786	24,7763	
6,4357	25,6872	24,7833	
7,2347	25,6692	24,7687	
8,0445	25,7109	24,8026	
8,8153	25,6619	24,7627	
6,4752	25,6014	24,7215	
7,2425	25,6076	24,7266	
8,0347	25,5903	24,7125	
8,8481	25,5665	24,7447	
9,6226	25,5379	24,7055	
7,286	25,3907	24,7296	
8,0525	25,3695	24,7344	
8,843	25,3568	24,7201	
9,6574	25,322	24,7362	
10,4328	25,2909	24,7091	
8,0509	25,1062	24,5629	
8,8187	25,0858	24,5449	
9,6178	25,0704	24,5313	
10,4275	25,0354	24,5004	
11,1983	25,0009	24,4699	
5,8552	25,6024	24,7285	
6,4372	25,6189	24,7419	
7,2442	25,5985	24,7252	
8,0547	25,6024	24,7544	
8,8194	25,5786	24,7161	
6,4342	25,4998	24,7154	
7,2027	25,4829	24,722	
8,0002	25,4705	24,7072	
8,8106	25,4412	24,7418	
9,5821	25,4127	24,7009	
7,2349	25,3214	24,6606	
8,0011	25,3005	24,6653	
8,7908	25,2883	24,6509	
9,6056	25,2544	24,6831	
10,3814	25,2243	24,6432	
8,0445	25,0704	24,5411	
8,8096	25,0466	24,52	
9,597	25,0337	24,5086	
10,4131	24,996	24,4751	
11,1903	24,9636	24,4464	
8,8134	24,8142	24,3213	
9,5779	24,7878	24,2977	
10,364	24,7742	24,2855	
11,1809	24,7331	24,2488	
11,9587	24,6983	24,2176	
6,4717	25,3353	24,6377	
7,2332	25,3198	24,6518	
8,0404	25,3037	24,6344	
8,8508	25,2765	24,6646	
9,6154	25,2514	24,6248	
7,2321	25,1711	24,618	
8,001	25,1533	24,6245	
8,797	25,1404	24,6093	
9,6083	25,109	24,5865	
10,3806	25,0792	24,5601	
8,0276	24,9885	24,4852	
8,7926	24,9653	24,4646	
9,5798	24,9529	24,4536	
10,3961	24,9164	24,421	
11,1733	24,885	24,3929	
8,8391	24,7223	24,2545	
9,6028	24,6957	24,2306	
10,3871	24,6827	24,2189	
11,205	24,6421	24,1824	
11,9838	24,6083	24,152	
9,6117	24,4599	24,0228	
10,3738	24,4296	23,9954	
11,1549	24,4163	23,9834	
11,9746	24,3714	23,9427	
12,7553	24,3354	23,9101	
7,2805	24,9332	24,4564	
8,0425	24,9168	24,4418	
8,8491	24,9002	24,4268	
9,6594	24,8715	24,4011	
10,4246	24,8448	24,3771	
8,041	24,7608	24,3038	
8,8093	24,7414	24,2864	
9,6039	24,7282	24,2744	
10,416	24,6947	24,2443	
11,1891	24,6635	24,2162	
8,8358	24,5698	24,1346	
9,5997	24,5445	24,1116	
10,3848	24,5318	24,1002	
11,2023	24,4928	24,0648	
11,9807	24,46	24,0351	
9,6478	24,291	23,886	
10,4101	24,2616	23,8592	
11,1916	24,2486	23,8474	
12,011	24,205	23,8076	
12,7915	24,1699	23,7756	
10,4208	24,0174	23,6388	
11,1813	23,9838	23,608	
11,9589	23,9706	23,5959	
12,7805	23,9224	23,5517	
